model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,20,3,0,2,32,2142.096,82987.5,5569.7,231.86
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,64,30,3,0,2,32,4634.071,179515.4,8310.7,499.37
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,2,3,0,2,32,191.14,1837.8,784.2,20.55
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,5,3,0,2,32,359.466,7984.8,1833.8,38.82
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,10,3,0,2,32,942.019,27446.3,3966.7,101.94
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,20,3,0,2,32,2888.037,100610.0,8113.0,310.6
Qwen/Qwen2.5-7B-Instruct,gsmhard,64,30,3,0,2,32,5969.665,219770.8,11369.1,641.8
Qwen/Qwen2.5-7B-Instruct,gpqa,64,2,3,0,2,32,127.961,2997.4,544.4,13.8
Qwen/Qwen2.5-7B-Instruct,gpqa,64,5,3,0,2,32,268.981,10315.7,1431.8,29.35
Qwen/Qwen2.5-7B-Instruct,gpqa,64,10,3,0,2,32,715.539,30173.1,2912.9,77.75
Qwen/Qwen2.5-7B-Instruct,gpqa,64,20,3,0,2,32,2515.842,100705.2,6114.6,271.59
Qwen/Qwen2.5-7B-Instruct,gpqa,64,30,3,0,2,32,5437.033,208653.9,9092.7,585.09
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,2,3,0,0,32,102.846,1853.5,528.9,11.14
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,5,3,0,0,32,207.011,7180.7,1339.9,22.83
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,10,3,0,0,32,572.462,23256.9,2677.9,62.54
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,20,3,0,0,32,2196.869,83344.0,5794.2,237.7
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,30,3,0,0,32,4653.916,181447.5,8446.7,501.24
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,2,3,0,0,32,169.104,1865.2,806.9,18.3
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,5,3,0,0,32,387.247,8098.9,2025.1,41.82
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,10,3,0,0,32,874.24,27713.5,4082.8,94.31
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,20,3,0,0,32,3102.22,102130.7,8651.8,333.2
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,30,3,0,0,32,6356.211,222700.5,12214.7,682.15
Qwen/Qwen2.5-7B-Instruct,gpqa,256,2,3,0,0,32,126.15,3091.6,628.6,13.7
Qwen/Qwen2.5-7B-Instruct,gpqa,256,5,3,0,0,32,268.825,10785.2,1634.6,29.31
Qwen/Qwen2.5-7B-Instruct,gpqa,256,10,3,0,0,32,763.731,31757.5,3258.0,83.1
Qwen/Qwen2.5-7B-Instruct,gpqa,256,20,3,0,0,32,2967.409,106018.2,7214.2,319.76
Qwen/Qwen2.5-7B-Instruct,gpqa,256,30,3,0,0,32,6348.819,223214.1,10929.9,682.67
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,2,3,0,1,32,111.913,1873.3,544.2,12.13
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,5,3,0,1,32,190.505,7326.0,1319.4,20.79
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,10,3,0,1,32,578.943,23975.2,2888.9,63.45
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,20,3,0,1,32,2210.411,85181.7,5849.3,239.14
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,30,3,0,1,32,4795.438,183492.5,8922.4,517.18
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,2,3,0,1,32,122.09,1881.4,709.2,13.37
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,5,3,0,1,32,293.369,8212.2,2018.0,31.93
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,10,3,0,1,32,777.792,27998.3,4020.6,84.77
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,20,3,0,1,32,3081.692,103118.6,8394.8,331.55
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,30,3,0,1,32,6384.597,223682.6,12427.3,686.39
Qwen/Qwen2.5-7B-Instruct,gpqa,256,2,3,0,1,32,142.658,2466.1,583.7,15.45
Qwen/Qwen2.5-7B-Instruct,gpqa,256,5,3,0,1,32,236.248,9062.5,1531.0,25.73
Qwen/Qwen2.5-7B-Instruct,gpqa,256,10,3,0,1,32,741.46,28196.9,3125.9,80.57
Qwen/Qwen2.5-7B-Instruct,gpqa,256,20,3,0,1,32,2677.434,97076.4,6508.8,288.94
Qwen/Qwen2.5-7B-Instruct,gpqa,256,30,3,0,1,32,5900.445,207061.9,9868.2,635.24
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,2,3,0,2,32,107.909,1835.4,498.1,11.79
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,5,3,0,2,32,214.673,7189.9,1302.3,23.47
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,10,3,0,2,32,599.402,23342.5,2683.9,65.49
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,20,3,0,2,32,2234.285,84068.8,5750.7,241.59
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,256,30,3,0,2,32,4729.287,179030.7,8367.6,509.67
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,2,3,0,2,32,129.394,1833.7,713.5,14.09
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,5,3,0,2,32,346.864,7971.6,1910.1,37.64
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,10,3,0,2,32,920.713,27427.2,3947.1,99.31
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,20,3,0,2,32,3032.957,101000.1,7949.1,325.85
Qwen/Qwen2.5-7B-Instruct,gsmhard,256,30,3,0,2,32,6413.673,219862.8,11504.3,689.19
Qwen/Qwen2.5-7B-Instruct,gpqa,256,2,3,0,2,32,175.31,2996.4,571.6,18.94
Qwen/Qwen2.5-7B-Instruct,gpqa,256,5,3,0,2,32,217.953,10287.3,1409.2,23.93
Qwen/Qwen2.5-7B-Instruct,gpqa,256,10,3,0,2,32,675.26,30205.3,2936.5,73.58
Qwen/Qwen2.5-7B-Instruct,gpqa,256,20,3,0,2,32,2598.812,100919.7,6132.8,280.6
Qwen/Qwen2.5-7B-Instruct,gpqa,256,30,3,0,2,32,5634.144,208506.5,9197.9,606.58
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,2,3,0,0,32,870.283,1836.3,497.9,93.47
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,5,3,0,0,32,2305.798,7121.8,1304.5,248.25
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,10,3,0,0,32,4979.869,23284.8,2737.4,536.28
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,20,3,0,0,32,10770.484,82872.1,5552.5,1161.29
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,2,30,3,0,0,32,17626.015,181183.2,8531.7,1900.63
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,2,3,0,0,32,1339.812,1863.4,771.6,143.92
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,5,3,0,0,32,3524.015,8090.8,2016.7,378.59
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,10,3,0,0,32,7564.352,27810.7,4201.2,813.85
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,20,3,0,0,32,15659.043,102065.0,8213.6,1687.68
Qwen/Qwen2.5-7B-Instruct,gsmhard,2,30,3,0,0,32,24348.868,223225.4,12007.1,2623.41
Qwen/Qwen2.5-7B-Instruct,gpqa,2,2,3,0,0,32,1098.426,3089.7,623.4,118.14
Qwen/Qwen2.5-7B-Instruct,gpqa,2,5,3,0,0,32,2874.155,10754.7,1620.6,309.05
